achterblijven|"<div class=""article""><div class=""k"">achterblijven</div>achterblijven<br/> * blijven waar je bent, niet met de anderen meegaan<br/>vb:ze gingen allemaal op vakantie en wij bleven achter<br/> * anderen niet kunnen bijhouden<br/>vb:deze leerling blijft achter bij de rest<br/><br/> * daar zit iets achter<br/> [ze vertellen niet alles, ze hebben een geheim]<br/> * een achtergebleven gebied<br/> [het is armer of ouderwetser dan andere gebieden]</div>"
achtergrond|"<div class=""article""><div class=""k"">achtergrond</div>achtergrond<br/> * wat erachter zit, de oorzaak<br/>vb:ik weet dat hij stiekem is, maar ik ken de achtergrond van dat gedrag<br/>niet<br/> * wat eerder gebeurd is<br/>vb:het zijn kinderen met een verschillende achtergrond<br/>synoniem: voorgeschiedenis<br/> * in de omgeving erachter<br/>vb:op deze foto zie je Irma met een restaurant op de achtergrond</div>"
achterlijk|"<div class=""article""><div class=""k"">achterlijk</div>achterlijk<br/> * zijn geestelijke ontwikkeling blijft achter<br/>vb:ze hebben een achterlijk kind<br/><br/> * wat een achterlijke vent (plat)<br/> [dom, stom]<br/><br/>synoniem: zwakzinnig</div>"
actie|"<div class=""article""><div class=""k"">actie</div>actie<br/> * beweging of handeling<br/>vb:Jan houdt niet van stilzitten, hij wil actie<br/><br/> * de politie moet in actie komen<br/> [de politie moet iets gaan doen]<br/> * we gaan actie voeren tegen dat plan<br/> [we gaan iets doen tegen dat plan]</div>"
activiteit|"<div class=""article""><div class=""k"">activiteit</div>activiteit<br/> * ergens mee bezig zijn<br/>vb:er worden hier allerlei activiteiten georganiseerd</div>"
actueel|"<div class=""article""><div class=""k"">actueel</div>actueel<br/> * wat op dit moment belangrijk is<br/>vb:dit kranteartikel gaat over een actueel onderwerp</div>"
adem|"<div class=""article""><div class=""k"">adem</div>adem<br/> * lucht die je opzuigt en weer uitblaast<br/>vb:door zijn adem beslaat de ruit<br/><br/> * je adem inhouden<br/> [even niet ademen omdat het spannend is]<br/> * buiten adem zijn<br/> [moeilijk ademen als je hard gelopen hebt]<br/> * een boek in ̩̩n adem uitlezen<br/> [zonder weg te leggen, omdat het zo spannend is]<br/> * je laatste adem uitblazen<br/> [doodgaan]<br/> * op adem komen<br/> [tot rust komen]</div>"
ademen|"<div class=""article""><div class=""k"">ademen</div>ademen<br/> * lucht opzuigen en weer uitblazen<br/>vb:de gewonde ademt nog<br/> * lucht doorlaten<br/>vb:deze plastic jas ademt niet</div>"
adequaat|"<div class=""article""><div class=""k"">adequaat</div>adequaat<br/> * precies wat nodig is<br/>vb:dat is een adequate oplossing<br/>synoniemen: geschikt passend</div>"
ader|"<div class=""article""><div class=""k"">ader</div>ader<br/> * buisje in je lichaam waar bloed doorheen gaat<br/>vb:de verpleegster prikt de naald in de ader<br/>synoniem: bloedvat</div>"
adopteren|"<div class=""article""><div class=""k"">adopteren</div>adopteren<br/> * als kind opnemen in het gezin<br/>vb:ze kunnen zelf geen kinderen krijgen, ze willen een kind adopteren<br/>synoniem: aannemen</div>"
adres|"<div class=""article""><div class=""k"">adres</div>adres<br/> * plaats, straat en huisnummer van een persoon of instelling<br/>vb:ik weet waar Jan woont, ik heb zijn adres<br/><br/> * Jan de Graaf, per adres (p.a.) .....<br/> [om aan te geven dat het niet zijn eigen adres is]</div>"
advertentie|"<div class=""article""><div class=""k"">advertentie</div>advertentie<br/> * betaalde krantetekst waarin je iets aanbiedt of bekendmaakt<br/>vb:ik zet een advertentie in de krant om mijn auto te verkopen<br/>synoniem: annonce</div>"
advies|"<div class=""article""><div class=""k"">advies</div>advies<br/> * wat je zegt dat hij het best kan doen<br/>vb:het advies van de dokter was: in bed blijven<br/>synoniem: raad</div>"
af|"<div class=""article""><div class=""k"">af</div>af<br/> * ergens vandaan<br/>vb:hij loopt de trap af<br/><br/> * af en aan lopen<br/> [heen en weer lopen]<br/><br/> * er hoeft niets meer aan gedaan te worden<br/>vb:de trui is af<br/>synoniemen: klaar gereed<br/><br/> * af! (tegen honden)<br/> [ga liggen]<br/> * we zijn weer terug bij af<br/> [we zijn weer net zover als toen we begonnen]<br/> * je bent af<br/> [je hebt het spel verloren]<br/> * afgaan<br/> [dom lijken, een slecht figuur slaan]<br/> * goed af zijn<br/> [boffen]</div>"
afbeelden|"<div class=""article""><div class=""k"">afbeelden</div>afbeelden<br/> * er een tekening of een plaatje van maken<br/>vb:hij beeldde haar af als een prinses</div>"
afdeling|"<div class=""article""><div class=""k"">afdeling</div>afdeling<br/> * deel van winkel, ziekenhuis, enz<br/>vb:dit is de afdeling waar we schoenen verkopen</div>"
afdragen|"<div class=""article""><div class=""k"">afdragen</div>afdragen<br/> * kleren dragen tot ze versleten zijn<br/>vb:hij heeft deze jas helemaal afgedragen<br/> * iets wat je zelf gekregen hebt aan anderen geven<br/>vb:Jan moest de winst afdragen aan het bestuur<br/>tegenstellingen: behouden bewaren houden</div>"
affaire|"<div class=""article""><div class=""k"">affaire</div>affaire<br/> * iets vervelends dat gebeurd is<br/>vb:de affaire van het verdwenen geld is nog niet opgelost</div>"
